stop_id,route_id,n_departures,avg_headway
200419026,267,24,5.0
200419026,273,8,15.0
200419026,274,8,15.0
200419026,2977,1,120.0
200419026,2981,1,120.0
200419026,2985,1,120.0
200419026,2987,1,120.0
200419026,2988,1,120.0
200419026,2989,2,60.0
200419026,2990,1,120.0
200419026,3012,2,60.0
200419026,3646,8,15.0
200419034,267,24,5.0
200419034,2976,1,120.0
200419034,2985,1,120.0
200419035,267,24,5.0
200419035,2976,1,120.0
200419036,1968,12,10.0
200419036,278,12,10.0
200419036,2976,1,120.0
200419036,2977,1,120.0
200419037,273,8,15.0
200419037,274,8,15.0
200419037,2976,1,120.0
200419037,2981,1,120.0
200419037,3646,8,15.0
200419039,2466,67,1.791044776119403
200419041,2466,68,1.7647058823529411
200420001,259,12,10.0
200420001,262,16,7.5
200420001,268,12,10.0
200420001,2976,1,120.0
200420001,2977,1,120.0
200420001,2981,2,60.0
200420002,259,12,10.0
200420002,268,13,9.23076923076923
200420002,272,16,7.5
200420003,259,12,10.0
200420004,259,12,10.0
200420004,262,16,7.5
200420006,1823,1,120.0
200420006,2976,1,120.0
200420006,2977,1,120.0
200420006,2978,1,120.0
200420006,2979,1,120.0
200420006,2980,1,120.0
200420006,2981,2,60.0
200420007,260,16,7.5
200420008,268,12,10.0
200420008,272,16,7.5
200420008,275,16,7.5
200420008,276,9,13.333333333333334
200420008,2984,1,120.0
200420008,2990,1,120.0
200420009,257,17,7.0588235294117645
200420009,259,13,9.23076923076923
200420009,268,13,9.23076923076923
200420009,272,16,7.5
200420009,2984,1,120.0
200420010,257,17,7.0588235294117645
200420010,275,16,7.5
200420010,276,9,13.333333333333334
200420010,2990,1,120.0
200420011,268,12,10.0
200420011,275,16,7.5
200420011,276,9,13.333333333333334
200420011,2984,1,120.0
200420011,2990,1,120.0
200420012,275,16,7.5
200420012,276,9,13.333333333333334
200420012,2977,1,120.0
200420012,2984,1,120.0
200420012,2990,1,120.0
200420013,257,17,7.0588235294117645
200420013,275,16,7.5
200420013,276,9,13.333333333333334
200420013,2990,1,120.0
200420014,275,16,7.5
200420014,276,9,13.333333333333334
200420014,2984,1,120.0
200420014,2990,1,120.0
200420015,257,17,7.0588235294117645
200420015,259,6,20.0
200420015,2984,1,120.0
200420016,272,16,7.5
200421003,269,8,15.0
200421003,3646,8,15.0
200421004,269,8,15.0
200421004,3646,8,15.0
200421006,269,8,15.0
200421006,3646,8,15.0
200422001,279,16,7.5
200422001,2987,1,120.0
200422001,366,4,30.0
200422002,1946,15,8.0
200422002,366,5,24.0
200422003,279,16,7.5
200422003,2983,1,120.0
200422003,2987,1,120.0
200422003,366,4,30.0
200422004,2983,1,120.0
200422005,1946,15,8.0
200422005,279,16,7.5
200422005,2987,1,120.0
200422006,1946,15,8.0
200422006,366,4,30.0
200422007,279,16,7.5
200422007,2983,1,120.0
200422007,2987,1,120.0
200422007,366,4,30.0
200422008,279,16,7.5
200422008,2987,1,120.0
200422008,366,4,30.0
200422009,1946,15,8.0
200422009,279,16,7.5
200422009,2987,1,120.0
200422010,2983,1,120.0
200422011,279,16,7.5
200422011,2983,1,120.0
200422011,2987,1,120.0
200422011,366,4,30.0
200423001,1946,15,8.0
200423001,271,12,10.0
200423002,1946,15,8.0
200423002,271,12,10.0
200423003,1946,15,8.0
200423003,271,12,10.0
200423004,261,16,7.5
200423004,262,16,7.5
200423004,279,16,7.5
200423004,2987,1,120.0
200423005,1946,15,8.0
200423005,271,12,10.0
200423006,2466,34,3.5294117647058822
200423007,1946,15,8.0
200423007,271,12,10.0
200423008,2466,34,3.5294117647058822
200423009,2466,35,3.4285714285714284
200424001,1947,8,15.0
200424001,1967,25,4.8
200424001,2978,1,120.0
200424001,2988,1,120.0
200425003,269,8,15.0
200425004,269,8,15.0
200425005,269,8,15.0
200425006,269,8,15.0
200425010,269,8,15.0
200425011,269,8,15.0
200425012,269,8,15.0
200425012,3646,8,15.0
200426001,259,12,10.0
200426001,2977,1,120.0
200426001,2983,1,120.0
200426002,1946,15,8.0
200426002,2977,1,120.0
200426002,2983,1,120.0
200426002,366,4,30.0
200426003,259,12,10.0
200426003,2977,1,120.0
200426003,2983,1,120.0
200426004,274,8,15.0
200426004,2981,1,120.0
200426004,2982,1,120.0
200426004,366,4,30.0
200426005,1968,12,10.0
200426005,2982,1,120.0
200426005,366,4,30.0
200426005,4026,1,120.0
200426006,274,8,15.0
200426006,2981,1,120.0
200426006,2982,1,120.0
200426006,366,4,30.0
200426007,1968,12,10.0
200426007,274,8,15.0
200426007,2981,1,120.0
200426008,1968,12,10.0
200426008,2982,1,120.0
200426008,366,4,30.0
200426008,4026,1,120.0
200426009,1968,12,10.0
200426009,2982,1,120.0
200426009,366,4,30.0
200426009,4026,1,120.0
200426010,1968,12,10.0
200426010,2982,1,120.0
200426010,366,4,30.0
200426010,4026,1,120.0
200426011,274,8,15.0
200426011,2981,1,120.0
200426011,2982,1,120.0
200426011,366,4,30.0
200501001,1967,24,5.0
200501001,263,7,17.142857142857142
200501001,276,8,15.0
